ano,id_municipio,quantidade_vinculos_ativos,cnae_2,cep
2023,4314902,0,25128,91150010
2023,4314902,0,63194,90650120
2023,4314902,0,46133,91771027
2023,4314902,0,59120,90230181
2023,4314902,0,62040,91340000
2023,4314902,0,46648,91030510
2023,4314902,0,35115,90810080
2023,4314902,0,52401,90200000
2023,4314902,0,79112,90010321
2023,4314902,0,96092,90240650
2023,4314902,0,46451,90480004
2023,4314902,0,64638,90040180
2023,4314902,0,56201,90850010
2023,4314902,0,63119,90030130
2023,4314902,0,86101,90610200
2023,4314902,0,43223,91160230
2023,4314902,0,62031,90540000
2023,4314902,0,27406,91770060
2023,4314902,0,64921,90810240
2023,4314902,0,77110,91130120
2023,4314902,0,90027,90420140
2023,4314902,0,43223,90240542
2023,4314902,0,46168,91130330
2023,4314902,0,62040,91360040
2023,4314902,0,58115,90450030
2023,4314902,0,90019,90220121
2023,4314902,0,43134,90830200
2023,4314902,0,75001,91910001
2023,4314902,0,62015,90020024
2023,4314902,0,51111,90200310
2023,4314902,0,59111,91350180
2023,4314902,0,49230,91510710
2023,4314902,0,75001,90240570
2023,4314902,0,77403,90570070
2023,4314902,0,25110,91120230
2023,4314902,0,75001,90510001
2023,4314902,0,25322,91430580
2023,4314902,0,49248,91770013
2023,4314902,0,64638,90560005
2023,4314902,0,90019,91510710
2023,4314902,0,94120,90130060
2023,4314902,0,64638,90470230
2023,4314902,0,56201,90610000
2023,4314902,0,46427,90020180
2023,4314902,0,77110,90680570
2023,4314902,0,46133,91540510
2023,4314902,0,79112,91520540
2023,4314902,0,62015,90010280
2023,4314902,0,90027,90850430
2023,4314902,0,33210,91530390
2023,4314902,0,46371,90560020
2023,4314902,0,63119,91530310
2023,4314902,0,90019,90010221
2023,4314902,0,46451,90480003
2023,4314902,0,95118,90020060
2023,4314902,0,62031,90430010
2023,4314902,0,75001,91920000
2023,4314902,0,18229,90520003
2023,4314902,0,80200,91110440
2023,4314902,0,64638,90850130
2023,4314902,0,62015,91225001
2023,4314902,0,47113,91790070
2023,4314902,0,46796,91540000
2023,4314902,0,10911,91120630
2023,4314902,0,46460,90450090
2023,4314902,0,47555,90560005
2023,4314902,0,59111,91720555
2023,4314902,0,59111,90520060
2023,4314902,0,95215,91340230
2023,4314902,0,13405,90230123
2023,4314902,0,75001,90450120
2023,4314902,0,85121,91910251
2023,4314902,0,32990,90220121
2023,4314902,0,58115,90050100
2023,4314902,0,47130,90870001
2023,4314902,0,63194,90450210
2023,4314902,0,85121,90001970
2023,4314902,0,46133,91920500
2023,4314902,0,86101,90630150
2023,4314902,0,95118,90880410
2023,4314902,0,59111,90010221
2023,4314902,0,56201,90040310
2023,4314902,0,59111,91130280
2023,4314902,0,47555,91030180
2023,4314902,0,63119,90470170
2023,4314902,0,58115,90220180
2023,4314902,0,47229,91520650
2023,4314902,0,46478,91030320
2023,4314902,0,75001,90510001
2023,4314902,0,77403,90620100
2023,4314902,0,63194,90050100
2023,4314902,0,46354,90010280
2023,4314902,0,47822,90560003
2023,4314902,0,81214,90240130
2023,4314902,0,62023,90430001
2023,4314902,0,77390,91020050
2023,4314902,0,56201,90830000
2023,4314902,0,62015,90480000
2023,4314902,0,62031,90870310
2023,4314902,0,72100,90570150
2023,4314902,0,47822,90560003
2023,4314902,0,59111,90240470
2023,4314902,0,43223,90560020
2023,4314902,0,90019,91751830
2023,4314902,0,75001,90850000
2023,4314902,0,64913,90230240
2023,4314902,0,62040,91420530
2023,4314902,0,64930,90110180
2023,4314902,0,63119,90440010
2023,4314902,0,62040,90240580
2023,4314902,0,66304,90690140
2023,4314902,0,46397,91030280
2023,4314902,0,35115,90480003
2023,4314902,0,59111,90040130
2023,4314902,0,62031,90640003
2023,4314902,0,61906,91170680
2023,4314902,0,64999,90480160
2023,4314902,0,90019,90150101
